,year,dma_desc,store address,city,state,zip,simulated_sales,#_of_workers_over_16,median_age,median_earnings,occupation_MBSA,occupation_Ser,occupation_sales_and_office,occupation_NrCM,occupation_PTMm,class_private_wage_and_salary,class_government_workers,class_self_employed,class_unpaid_family_workers,mean_travel_time_to_work,owner_occupied_houseing_units(percent),no_vehicle(percent),public_transportation,occupied_housing_units,housing_built_2014+,num_of_establishments,total population,sex_ratio,more_race_percent,White_race_percent,Black_AfricanAmerican_race_percent,AmericanIndian_Alaska_Native_race_percent,Asian_race_percent,NativeHawaiian_OtherPacificIslander_race_percent,others_race_percent,NotHispanic_Latino_percent
0,2017,Memphis,5280 Summer Ave,Memphis,TN,38122,11587119.12,10763,40.7,25365,24.8,22.8,21.6,16.3,13.8,81.3,9.5,9,0.3,20.3,51.3,2.4,105,9360,0,11,25520,99.4,1.8,59.5,21.8,0,2.2,0,14.6,71.7
1,2017,Atlanta,1605 Buford Highway,BUFORD,GA,30518,9483031.06,23881,43.3,37426,40,15.2,22.3,11.1,11.4,83.9,8.9,6.9,0.3,32.2,75.1,3,90,16308,1.8,7,50519,98.6,3.4,70.4,11.6,0.1,8.1,0,6.4,78.4
2,2017,Toledo,2244 S Reynolds Rd,TOLEDO,OH,43614,7325231.047,14994,40.4,34666,36.7,19.7,24.2,6.4,13,81.7,15.2,2.8,0.2,19.2,65.2,2.1,74,14268,0.1,3,31334,83,3.4,77.7,15.8,0.1,1.9,0,1.1,94.5
3,2017,Phoenix (Prescott),5000 S. Arizona Mills Circle,TEMPE,AZ,85282,6567164.366,28994,33.2,32174,39.2,19.5,28.9,5,7.4,82.7,12.9,4.2,0.2,20.7,38.3,3.6,1632,21481,0.4,4,52799,113.8,3.6,71.6,6.6,2.2,3.9,0.4,11.8,76.6
4,2017,Memphis,7697 Winchester Road,Memphis,TN,38125,6803905.569,20021,43.2,37471,34.1,14.3,26,7.2,18.4,78.4,18.1,3.4,0.1,25.2,67.1,0.6,47,13755,0.6,4,37018,89.3,1.3,16.8,74.3,0,2.9,0.3,4.3,94
5,2017,Harlingen-Weslaco-Brownsville-McAll,1600 West Kelly,Pharr,TX,78577,8958020.795,27759,39,24686,21.9,23.3,28.3,14.5,12,75.1,14.4,10.5,0,,62.9,1.8,24,21433,1.2,12,76821,89.5,1.1,92.7,0.2,0.2,0.3,0,5.5,5.7
6,2017,Birmingham (Anniston & Tuscaloosa),5501 Grove Blvd,Hoover,AL,35226,7549331.524,18253,42.1,51681,60.4,10,22.3,2.8,4.4,82,13.6,4.3,0.1,,79.8,0.6,27,13410,1.2,,35119,95.6,1.7,80.7,12.4,0.3,4.1,0,0.7,98
7,2017,St. Louis,20 O'Fallon Square,O'Fallon,MO,63366,8192194.848,25958,42.6,41116,35,15.5,26.1,9.4,14,86.9,9.1,4,0,,84.3,1,26,18187,1.1,20,49077,101.7,2.3,92,4,0.1,1.3,0,0.3,97.7
8,2017,Nashville,209 South Royal Oaks Blvd,Franklin,TN,37064,11448789.24,28079,45,45679,49.5,12.9,26.4,5.1,6.2,79.7,10.9,9.2,0.3,,81.4,1.8,73,20306,3.9,16,55664,94.1,1.5,90,6.8,0.1,1.1,0,0.6,92.6
9,2017,Erie,2080 Interchange Road,ERIE,PA,16565,5645752.288,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
10,2017,Des Moines-Ames,10331 University Ave,Clive,IA,50325,11224223.26,8568,43.8,52404,53,12.8,22.3,4.2,7.7,85.5,9,5.5,0,,82.7,1.2,40,6487,0.9,9,16889,91.3,2.7,87.4,2.6,0.3,5.9,0,1.1,95
11,2017,Dallas-Ft. Worth,2727 Towne Center Dr,Mesquite,TX,75150,12684187.2,29281,39.2,31195,26.6,18,26.5,14.9,14.1,82.2,11.4,6.2,0.2,29.6,51,1.8,243,21391,0.8,19,62297,90.6,3.5,66.9,21,0.8,3.3,0.1,4.4,57.5
12,2017,Kansas City,601 N State Highway 291,Lees Summit,MO,64086,7287162.98,11911,43.3,46892,47.3,11.4,26.5,6.1,8.7,85.1,10.7,4.2,0,24.3,82.4,0.6,96,8399,0.2,6,22709,95.1,2.8,85.1,8.4,0.6,2.2,0,0.9,96.9
13,2017,Dallas-Ft. Worth,2201 Porter Creek Drive,Fort Worth,TX,76177,12881768.91,4657,37.1,52694,53.4,8.2,18.7,12.9,6.5,84,14,2,0,,65.1,2.9,0,3104,5,11,7907,111.8,8,79.3,8.1,1.3,1.4,0,1.9,88.2
14,2017,Jackson,6360 Ridgewood Court Dr,Jackson,MS,39211,7771019.437,13059,39.6,39426,49.4,14.4,23.9,4.3,7.9,75.7,17.6,6.5,0.3,,63.8,0.5,35,10080,0.3,9,24879,89.5,0.6,51.3,45.3,0,1.4,0.2,1.2,97.4
15,2017,Nashville,3710 Annex Avenue,Nashville,TN,37209,9931451.213,19940,33.3,33920,47.6,12.7,21.8,7,10.9,82.5,10.4,7,0,22.3,48.1,3.9,528,14744,3.2,10,37480,94.7,4.2,63,24.2,0.5,5.1,0.2,2.7,92.7
16,2017,Kansas City,2000 E Santa Fe,Olathe,KS,66062,9517242.888,42348,42.1,44253,49,14.1,24.5,5.1,7.4,85,10.8,4.1,0.1,,79.3,1,149,27385,1.5,12,79924,97.7,3.2,86.6,4.3,0.2,5.2,0,0.5,92.5
17,2017,Albuquerque-Santa Fe,11150 Lomas Boulevard,Albuquerque,NM,87112,7377183.245,20100,41.1,31897,40.1,18.8,26.5,7.9,6.4,74,20,5.9,0.1,,58.2,1.8,310,18170,0,6,43197,96.2,4.3,74.5,4.3,5.3,2.8,0.1,8.7,66.2
18,2017,Cleveland-Akron (Canton),5223 Cobblestone Rd,Elyria,OH,44035,11677531.3,29355,43.1,30597,27,20.9,22.7,9.4,20,86.2,10.2,3.3,0.2,21.5,66.9,2.5,175,26968,0.3,13,63572,94.2,5.5,80.1,12.8,0.2,0.8,0,0.6,94.9
19,2017,Huntsville-Decatur (Florence),1401 Memorial Parkway NW,Huntsville,AL,35816,7293928.339,6574,29.3,17794,22.9,29.6,31.1,4.4,12,89.5,8,1.5,1,15.4,21.9,7.2,31,6458,0,10,13267,84.8,2.8,29.4,63,0.4,3.1,0,1.3,94.4
20,2017,Macon,2063 Watson Blvd,Warner Robbins,GA,31093,6584404.674,12405,40.7,28997,26.5,22.6,22.5,11.8,16,68.9,26.6,4.4,0.2,,55.6,4.1,3,11343,0.1,14,30510,88.7,1.4,51.9,43.1,0.4,2.5,0,0.6,92.6
21,2017,Atlanta,2420 Wisteria Dr SW,Snellville,GA,30078,7991578.449,16795,44.3,36902,41.4,13.6,29.5,7.7,7.5,81.2,12.1,6.4,0.3,,75.5,0.4,99,10962,0.5,17,34871,87.3,1.6,49.7,34.6,0.3,9,0,4.7,88.5
22,2017,Oklahoma City,701 S MacArthur,Oklahoma City,OK,73128,15169413.5,2536,40.4,44336,36.2,15.4,20.1,11.7,16.6,77.8,18.6,3.5,0,,78.3,1.1,0,1582,1.7,6,4778,119.1,2.9,80.2,1,0.6,15.3,0,0,84.3
23,2017,El Paso,1120 McRae Boulevard,El Paso,TX,79925,4839400.596,18187,40.8,28475,32.1,18.7,28.6,6.9,10.6,70.2,25.7,4.1,0,19.2,54.5,2.1,276,14706,0.1,15,39455,89.4,1.9,88.5,3.2,0.4,0.6,0.4,4.9,23.7
